run,method,depth,iterations,inner_time,outer_time
0,compute_iterations,3,527,3.000,12.557890
0,compute_iterations,3,395,2.000,6.4278822
0,compute_iterations,3,264,1.000,7.6450631
0,compute_iterations,4,592,5.000,10.425024
0,compute_iterations,4,494,4.000,9.6978366
0,compute_iterations,4,395,3.000,11.7056458
0,compute_iterations,4,297,2.000,7.860450
0,compute_iterations,4,198,1.000,9.9363992
0,compute_iterations,5,474,5.000,14.579935
0,compute_iterations,5,395,4.000,11.2394041
0,compute_iterations,5,237,2.000,7.8517749
0,compute_iterations,5,79,1.000,5.220843
0,compute_iterations,6,330,5.000,9.814897
0,compute_iterations,6,264,4.000,10.278401
0,compute_iterations,6,198,3.000,7.847137
0,compute_iterations,6,132,2.000,7.710603
0,compute_iterations,6,66,1.000,5.884354
0,compute_iterations,7,283,5.000,10.5381159
0,compute_iterations,7,226,4.000,8.941254
0,compute_iterations,7,170,3.000,9.5449024
0,compute_iterations,7,170,2.000,6.574917
0,compute_iterations,7,57,1.000,5.56295
0,compute_iterations,8,247,5.000,10.5323048
0,compute_iterations,8,198,4.000,8.7450928
0,compute_iterations,8,198,3.000,11.8946908
0,compute_iterations,8,149,2.000,6.1033201
0,compute_iterations,8,99,1.000,6.1725592
0,compute_iterations,9,220,5.000,14.6842238
0,compute_iterations,9,220,4.000,10.2685078
0,compute_iterations,9,176,3.000,9.048642
0,compute_iterations,9,132,2.000,6.836543
0,compute_iterations,9,44,1.000,6.758742
0,compute_iterations,10,237,5.000,28.0129872
0,compute_iterations,10,198,4.000,8.7551018
0,compute_iterations,10,158,3.000,12.987017
0,compute_iterations,10,119,2.000,6.5027421
0,compute_iterations,10,79,1.000,5.185292
0,compute_iterations,11,180,5.000,14.368267
0,compute_iterations,11,180,4.000,9.5785192
0,compute_iterations,11,144,3.000,8.6125092
0,compute_iterations,11,108,2.000,6.3602831
0,compute_iterations,11,72,1.000,24.6219991
0,compute_iterations,12,198,5.000,8.9179359
0,compute_iterations,12,165,4.000,9.685839
0,compute_iterations,12,132,3.000,16.831691
0,compute_iterations,12,99,2.000,39.165521
0,compute_iterations,12,66,1.000,7.960390
0,compute_iterations,13,183,5.000,11.099632
0,compute_iterations,13,152,4.000,12.5398478
0,compute_iterations,13,122,3.000,8.6038831
0,compute_iterations,13,92,2.000,8.0560698
0,compute_iterations,13,61,1.000,9.840075
0,compute_iterations,14,170,5.000,32.510402
0,compute_iterations,14,142,4.000,8.510666
0,compute_iterations,14,113,3.000,7.3596822
0,compute_iterations,14,85,2.000,11.6194929
0,compute_iterations,14,57,1.000,11.073729
0,compute_iterations,15,158,5.000,10.9574462
0,compute_iterations,15,132,4.000,16.885794
0,compute_iterations,15,106,3.000,10.9039859
0,compute_iterations,15,79,2.000,24.680675
0,compute_iterations,15,53,1.000,5.684306
0,compute_iterations,16,149,5.000,12.350038
0,compute_iterations,16,124,4.000,9.4380058
0,compute_iterations,16,99,3.000,8.2179489
0,compute_iterations,16,75,2.000,6.439605
0,compute_iterations,16,50,1.000,5.4053141
0,compute_iterations,17,140,5.000,9.983286
0,compute_iterations,17,117,4.000,12.964317
0,compute_iterations,17,93,3.000,9.811047
0,compute_iterations,17,47,2.000,5.748081
0,compute_iterations,17,24,1.000,5.700996
0,compute_iterations,18,110,5.000,8.730679
0,compute_iterations,18,88,4.000,10.1552240
0,compute_iterations,18,88,3.000,7.4024420
0,compute_iterations,18,66,2.000,7.017386
0,compute_iterations,18,44,1.000,4.589572
0,compute_iterations,19,125,5.000,11.211941
0,compute_iterations,19,104,4.000,17.0189624
0,compute_iterations,19,84,3.000,7.5806052
0,compute_iterations,19,63,2.000,6.8559010
0,compute_iterations,19,42,1.000,5.6210428
0,compute_iterations,20,119,5.000,11.063241
0,compute_iterations,20,79,4.000,10.059167
0,compute_iterations,20,79,3.000,7.3184699
0,compute_iterations,20,60,2.000,14.8900452
0,compute_iterations,20,40,1.000,15.2336430
1,compute_iterations,0,0,5.000,3.2075422
1,compute_iterations,0,0,4.000,3.1559208
1,compute_iterations,0,0,3.000,8.2493891
1,compute_iterations,0,0,2.000,5.753006
1,compute_iterations,0,0,1.000,4.8729792
1,compute_iterations,1,2366,5.000,11.144463
1,compute_iterations,1,1972,4.000,10.150046
1,compute_iterations,1,1183,3.000,5.724118
1,compute_iterations,1,790,2.000,6.7292601
1,compute_iterations,1,395,1.000,9.670944
1,compute_iterations,2,1184,5.000,11.796626
1,compute_iterations,2,790,4.000,7.4756641
1,compute_iterations,2,592,3.000,14.1528819
1,compute_iterations,2,593,2.000,5.678072
1,compute_iterations,2,395,1.000,16.8603552
1,compute_iterations,3,790,5.000,8.8760232
1,compute_iterations,3,658,4.000,11.7380149
1,compute_iterations,3,527,3.000,10.7205532
1,compute_iterations,3,264,2.000,5.6547398
1,compute_iterations,3,264,1.000,5.608396
1,compute_iterations,4,592,5.000,11.663557
1,compute_iterations,4,494,4.000,8.985395
1,compute_iterations,4,395,3.000,10.020854
1,compute_iterations,4,297,2.000,6.5131762
1,compute_iterations,4,198,1.000,9.4281708
1,compute_iterations,5,395,5.000,16.322607
1,compute_iterations,5,395,4.000,9.330788
1,compute_iterations,5,316,3.000,9.3242949
1,compute_iterations,5,237,2.000,8.822634
1,compute_iterations,5,158,1.000,8.2380239
1,compute_iterations,6,395,5.000,8.737870
1,compute_iterations,6,330,4.000,10.085499
1,compute_iterations,6,264,3.000,10.274542
1,compute_iterations,6,198,2.000,6.518179
1,compute_iterations,6,132,1.000,15.284044
1,compute_iterations,7,339,5.000,16.179524
1,compute_iterations,7,283,4.000,11.648300
1,compute_iterations,7,226,3.000,7.530262
1,compute_iterations,7,170,2.000,7.410890
1,compute_iterations,7,113,1.000,5.6934181
1,compute_iterations,8,297,5.000,13.789096
1,compute_iterations,8,247,4.000,10.127413
1,compute_iterations,8,198,3.000,8.182532
1,compute_iterations,8,99,2.000,7.1111522
1,compute_iterations,8,50,1.000,11.209441
1,compute_iterations,9,264,5.000,79.2818802
1,compute_iterations,9,220,4.000,8.880915
1,compute_iterations,9,176,3.000,8.0353629
